Date,Open,High,Low,Close,Adj Close,Volume
2019-02-01,129.034424,134.311661,126.309753,132.055450,103.471382,71610414
2019-03-01,133.183563,135.869980,127.705544,134.894836,106.927650,78122915
2019-04-01,135.286804,138.996170,130.267685,134.101334,106.298683,83886585
2019-05-01,134.369019,135.573608,121.271507,121.405357,96.234909,79011074
2019-06-01,121.510513,133.986618,121.472275,131.835571,105.743996,64163313
2019-07-01,133.460800,145.258133,133.011475,141.720840,113.672882,83848718
2019-08-01,142.351822,146.223709,123.164436,129.569794,103.926643,100678127
2019-09-01,128.919693,140.124283,127.466537,139.024857,112.824356,64655351
2019-10-01,139.187378,140.869980,125.143402,127.848946,103.754639,95625532
2019-11-01,128.585083,133.021027,126.912048,128.537292,104.313271,67751825
2019-12-01,128.537292,130.420654,124.942642,128.145309,105.223442,75159179
2020-01-01,129.063095,139.378586,127.342255,137.409180,112.830261,118459187
2020-02-01,137.906311,151.768646,120.803062,124.426384,102.169724,123581342
2020-03-01,125.000000,130.114716,86.577438,106.051628,87.991066,198819809
2020-04-01,101.682602,123.623329,99.923515,120.038239,99.595764,136705925
2020-05-01,117.772469,121.386230,106.892921,119.407265,99.072243,97154572
2020-06-01,119.158699,129.904404,110.783936,115.458893,97.081024,126567676
2020-07-01,114.980881,126.357552,110.133842,117.533463,98.825378,119434686
2020-08-01,118.068832,124.732315,116.778206,117.887192,99.122803,77439042
2020-09-01,117.447418,124.235184,111.357552,116.319313,99.085083,88369845
2020-10-01,116.978966,129.541107,101.261948,106.749519,90.933174,166434813
2020-11-01,107.695984,119.799232,106.271507,118.087952,100.591690,108438088
2020-12-01,118.451241,122.074570,116.367111,120.344170,104.000092,107553067
2021-01-01,120.315491,126.424477,112.198853,113.871895,98.406845,183999975
2021-02-01,114.627151,118.881454,112.925430,113.699806,98.258118,111617824
2021-03-01,115.057358,131.042068,113.537285,127.399620,111.568558,133852331
2021-04-01,127.877632,142.198853,124.646271,135.640533,118.785423,128573588
2021-05-01,137.485657,141.978973,134.722748,137.418732,120.342651,102542414
2021-06-01,138.623322,146.118546,136.749527,140.143402,124.100021,88332817
2021-07-01,140.497131,141.013382,130.219879,134.761002,119.333801,115710194
2021-08-01,135.229446,138.336517,131.175903,134.168259,118.808922,72891244
2021-09-01,133.824097,134.388138,126.940727,132.820267,118.969337,80160627
2021-10-01,134.799240,139.579346,119.139580,119.598473,107.126343,150725359
2021-11-01,119.550667,124.779999,114.559998,117.099998,104.888412,120104799
2021-12-01,118.250000,134.990005,116.559998,133.660004,121.319077,113968900
2022-01-01,134.070007,142.199997,124.190002,133.570007,121.237396,146976800
2022-02-01,133.759995,138.820007,118.809998,122.510002,111.198563,98534100
2022-03-01,122.669998,133.080002,120.699997,130.020004,119.436707,96571700
2022-04-01,129.660004,141.880005,124.910004,132.210007,121.448471,107684000
2022-05-01,133.000000,139.830002,125.800003,138.839996,127.538765,113226200
2022-06-01,139.669998,144.729996,132.850006,141.190002,131.270813,105811300
2022-07-01,141.000000,141.869995,125.129997,130.789993,121.601440,129791800
2022-08-01,130.750000,139.339996,128.399994,128.449997,119.425842,77419800
2022-09-01,128.399994,130.990005,118.610001,118.809998,111.854843,87265100
2022-10-01,120.160004,138.860001,115.550003,138.289993,130.194489,113478200
2022-11-01,138.250000,150.460007,133.970001,148.899994,140.183365,93661300
2022-12-01,149.979996,153.210007,137.199997,140.889999,134.223755,86424100
2023-01-01,141.100006,147.179993,132.979996,134.729996,128.355225,105575000
2023-02-01,134.490005,137.389999,128.860001,129.300003,123.182137,76080200
2023-03-01,128.899994,131.479996,121.709999,131.089996,126.421455,138239000
2023-04-01,130.970001,132.610001,124.559998,126.410004,121.908127,83679400
2023-05-01,126.349998,130.070007,120.550003,128.589996,124.010490,96207800
2023-06-01,128.440002,139.470001,127.779999,133.809998,130.804199,100711500
2023-07-01,133.419998,144.600006,131.550003,144.179993,140.941254,85773900
2023-08-01,144.250000,147.729996,139.759995,146.830002,143.531723,84268400
2023-09-01,147.259995,151.929993,139.610001,140.300003,138.726685,82798300
2023-10-01,140.039993,144.759995,135.869995,144.639999,143.018005,94385000
2023-11-01,145.000000,158.600006,144.449997,158.559998,156.781906,78458300
2023-12-01,158.410004,166.339996,158.000000,163.550003,163.550003,87828800
2024-01-01,162.830002,167.250000,157.889999,166.960007,166.960007,37831900
2024-01-17,166.789993,167.509995,166.089996,166.410004,166.410004,434058
